Seed,ModelName,Dataset,Strategy,CopulaRuntime,CopulaMemoryUsed,IBSUncensTime,IBSIPCWTime,IBSIPCW_CoxPHTime,IBSIndepBGTime,IBSIndepBGUWTime,IBSDepBGTime,IBSDepBGUWTime
0,coxph,metabric,original,0.0,0.0,0.021385908126831,0.0215928554534912,0.0271599292755126,0.0224378108978271,0.0225923061370849,0.0223786830902099,0.0225729942321777
0,gbsa,metabric,original,0.0,0.0,0.0212602615356445,0.0216133594512939,0.0266692638397216,0.0230131149291992,0.0232489109039306,0.0227410793304443,0.023036241531372
0,rsf,metabric,original,0.0,0.0,0.0212726593017578,0.0217776298522949,0.0287575721740722,0.0231087207794189,0.0232768058776855,0.0229291915893554,0.0232343673706054
0,deepsurv,metabric,original,0.0,0.0,0.0209145545959472,0.0213942527770996,0.0515599250793457,0.041201114654541,0.0312604904174804,0.0222821235656738,0.0222716331481933
0,mtlr,metabric,original,0.0,0.0,0.020808458328247,0.0213115215301513,0.0541338920593261,0.0314021110534668,0.0224506855010986,0.0221436023712158,0.0223543643951416
0,coxph,metabric,top_5,0.0,0.0,0.021855354309082,0.0222640037536621,0.0274984836578369,0.0224015712738037,0.0224020481109619,0.0224044322967529,0.02293062210083
0,gbsa,metabric,top_5,0.0,0.0,0.021655797958374,0.0220787525177001,0.0263240337371826,0.022639513015747,0.0229897499084472,0.0228908061981201,0.0229303836822509
0,rsf,metabric,top_5,0.0,0.0,0.0213072299957275,0.0220427513122558,0.0268466472625732,0.0223987102508544,0.0223574638366699,0.0223150253295898,0.0226562023162841
0,deepsurv,metabric,top_5,0.0,0.0,0.021177053451538,0.0219523906707763,0.0271008014678955,0.0224833488464355,0.0223734378814697,0.0223145484924316,0.0223252773284912
0,mtlr,metabric,top_5,0.0,0.0,0.0215365886688232,0.0217070579528808,0.0265040397644042,0.0228145122528076,0.0227429866790771,0.0223691463470459,0.0226917266845703
0,coxph,metabric,top_10,0.0,0.0,0.0219645500183105,0.022284984588623,0.027679443359375,0.0229408740997314,0.0228438377380371,0.0226674079895019,0.0229346752166748
0,gbsa,metabric,top_10,0.0,0.0,0.0216965675354003,0.0220937728881835,0.027118444442749,0.0229394435882568,0.0229146480560302,0.0227468013763427,0.0229663848876953
0,rsf,metabric,top_10,0.0,0.0,0.0218422412872314,0.0221738815307617,0.0267739295959472,0.022803783416748,0.0229809284210205,0.0228333473205566,0.0244381427764892
0,deepsurv,metabric,top_10,0.0,0.0,0.0209736824035644,0.0213868618011474,0.0267322063446044,0.0244090557098388,0.0225086212158203,0.02232027053833,0.0224964618682861
0,mtlr,metabric,top_10,0.0,0.0,0.0213842391967773,0.0217759609222412,0.028149127960205,0.0229077339172363,0.0227723121643066,0.0226044654846191,0.0226130485534667
0,coxph,metabric,random_25,0.0,0.0,0.021996259689331,0.0223274230957031,0.0274875164031982,0.0226650238037109,0.0228233337402343,0.0226447582244873,0.0228028297424316
0,gbsa,metabric,random_25,0.0,0.0,0.0215899944305419,0.0219817161560058,0.0263962745666503,0.0241975784301757,0.0228159427642822,0.0222969055175781,0.0224838256835937
