Seed,ModelName,Dataset,Strategy,BestCopulaName,BestCopulaTheta,IBSTrue,IBSUncensored,IBSIPCW,IBSIPCW_CoxPH,IBSIndepBG,IBSIndepBGUW,IBSDepBG,IBSDepBGUW
0,coxph,metabric,original,frank,0.0942754706102583,0.1041226874474233,0.1067175023569226,0.1473387655440767,0.1429140718167738,0.1499652635771021,0.1543166266100873,0.1499652635771021,0.1543196311204588
0,gbsa,metabric,original,frank,0.0942754706102583,0.1065884808523454,0.1068176117070726,0.1519691336807187,0.1444797502808572,0.1509764194766808,0.1547457083036534,0.1509764194766808,0.1547519333109447
0,rsf,metabric,original,frank,0.0942754706102583,0.1093455262388782,0.1105061935369804,0.1554029355038733,0.1487759456105357,0.1532397418987673,0.1584630850918387,0.1532397418987673,0.1584682844826214
0,deepsurv,metabric,original,frank,0.0942754706102583,0.1046050022761276,0.1066166580888194,0.1479154847752719,0.1425819781373229,0.1496901052918383,0.1540605172602454,0.1496901052918383,0.1540644869941571
0,mtlr,metabric,original,frank,0.0942754706102583,0.1061867180160482,0.1039292686675881,0.1493218071222645,0.1429649123915034,0.1493483416235548,0.1506622984537187,0.1493483416235548,0.1506798252779541
0,coxph,metabric,top_5,frank,0.0625096086458524,0.1040518649212018,0.1071341585395257,0.1477267921700836,0.1481216578894713,0.1505431674450716,0.154933691116064,0.1505431674450716,0.1549354633372709
0,gbsa,metabric,top_5,frank,0.0625096086458524,0.107260820673887,0.1090020833807326,0.1543158776599073,0.154516189285589,0.1532832595423839,0.1574549493885421,0.1532832595423839,0.1574574419810351
0,rsf,metabric,top_5,frank,0.0625096086458524,0.1101633914995792,0.1115108815975333,0.1571430344951328,0.1581008585702646,0.1541172928385978,0.1596728188320984,0.1541172928385978,0.1596761563346071
0,deepsurv,metabric,top_5,frank,0.0625096086458524,0.1040065882955952,0.1066556876942948,0.1475559335668754,0.1479275488905268,0.150162803751354,0.154346809596762,0.150162803751354,0.1543492209613232
0,mtlr,metabric,top_5,frank,0.0625096086458524,0.1059422904669788,0.1051578016434275,0.1490831580860493,0.1500543495091572,0.1484987049297191,0.1523258281425905,0.1484987049297191,0.1523313789805072
0,coxph,metabric,top_10,frank,0.1115918402591604,0.1041226874474233,0.1067175023569226,0.1473387655440767,0.1429140718167738,0.1499652635771021,0.1543166266100873,0.1499652635771021,0.1543201764151515
0,gbsa,metabric,top_10,frank,0.1115918402591604,0.1073340302822798,0.1078902277733232,0.1524685700695461,0.1447142454008442,0.1518106954623481,0.1560699194031439,0.1518106954623481,0.1560748934300301
0,rsf,metabric,top_10,frank,0.1115918402591604,0.109881773853404,0.1108332794445441,0.1562375990158484,0.1496341151788281,0.1537112983844773,0.1589314584602029,0.1537112983844773,0.1589386703578064
0,deepsurv,metabric,top_10,frank,0.1115918402591604,0.1044122633073412,0.1063238840978255,0.1477427978386193,0.1423709396457111,0.1493737220441394,0.1536639604555038,0.1493737220441394,0.1536688035086732
0,mtlr,metabric,top_10,frank,0.1115918402591604,0.1077175728683854,0.1070896625008359,0.1523348468626393,0.1454535120841687,0.1506211580394493,0.1548612188591715,0.1506211580394493,0.1548733835831849
0,coxph,metabric,random_25,frank,0.1877974307825979,0.1406276358736935,0.1179407796233264,0.1738834264483075,0.1702253462892163,0.1716300194467396,0.1744405208666761,0.1714988158402673,0.1744393335925078
0,gbsa,metabric,random_25,frank,0.1877974307825979,0.1422039351170934,0.1166045664465666,0.1735596542465902,0.1699078528227036,0.1726387612492734,0.1735589874330769,0.1724599381653865,0.1735480839790903
