BestCopulaTheta,Strategy,BestCopulaName,Seed,Dataset
0.5779259341579827,top_10,clayton,2,mimic_all
0.5355123559328071,random_25,clayton,2,mimic_all
0.6303447171574948,original,clayton,2,seer_brain
0.6013280086758074,top_5,clayton,2,seer_brain
0.6272209898637089,top_10,clayton,2,seer_brain
0.8720735286908468,random_25,clayton,2,seer_brain
0.510192190206128,original,clayton,2,seer_liver
0.4710803754272864,top_5,clayton,2,seer_liver
0.5095973351578875,top_10,clayton,2,seer_liver
0.6980207711636345,random_25,clayton,2,seer_liver
0.7957025417718154,original,clayton,2,seer_stomach
0.6830531024308162,top_5,clayton,2,seer_stomach
0.8138811958005872,top_10,clayton,2,seer_stomach
0.9487202993087692,random_25,clayton,2,seer_stomach
0.1316251511961356,original,frank,3,metabric
0.001,top_5,clayton,3,metabric
0.001,top_10,clayton,3,metabric
0.001,random_25,clayton,3,metabric
0.4993428635767448,original,frank,3,gbsg
0.479822377569242,top_5,frank,3,gbsg
0.4993709595280028,top_10,frank,3,gbsg
0.4172388823583496,random_25,frank,3,gbsg
0.3030836066120224,original,frank,3,nacd
0.001,top_5,clayton,3,nacd
0.001,top_10,clayton,3,nacd
0.3841609973255451,random_25,frank,3,nacd
0.2781344648371241,original,clayton,3,support
0.2994178507626938,top_5,clayton,3,support
0.2919175057851104,top_10,clayton,3,support
0.3851899785660148,random_25,clayton,3,support
0.001,original,frank,3,flchain
0.001,top_5,clayton,3,flchain
0.001,top_10,clayton,3,flchain
0.001,random_25,clayton,3,flchain
0.001,original,frank,3,whas
0.001,top_5,clayton,3,whas
0.001,top_10,clayton,3,whas
0.001,random_25,frank,3,whas
0.4265607852485371,original,clayton,3,employee
0.4405868709233001,top_5,clayton,3,employee
0.4354274727689678,top_10,clayton,3,employee
0.4971460798466465,random_25,clayton,3,employee
0.534443982718137,original,clayton,3,churn
0.5083699693092846,top_5,clayton,3,churn
0.4969324063943162,top_10,clayton,3,churn
0.5313574288577299,random_25,clayton,3,churn
0.5661517758349095,original,clayton,3,mimic_all
0.6178598670917798,top_5,clayton,3,mimic_all
0.5900684283721115,top_10,clayton,3,mimic_all
0.5391200226889792,random_25,clayton,3,mimic_all
0.7135050397236287,original,clayton,3,seer_brain
0.6143971734846887,top_5,clayton,3,seer_brain
0.372120090298363,top_10,frank,3,seer_brain
1.2597684721099518,random_25,clayton,3,seer_brain
0.4290607509353272,original,clayton,3,seer_liver
0.3880185521894103,top_5,clayton,3,seer_liver
0.4164464320249945,top_10,clayton,3,seer_liver
0.6591208769014499,random_25,clayton,3,seer_liver
0.7957252825869692,original,clayton,3,seer_stomach
0.7457595896664804,top_5,clayton,3,seer_stomach
0.8136647780925321,top_10,clayton,3,seer_stomach
0.9497727192979,random_25,clayton,3,seer_stomach
0.126461615610725,original,frank,4,metabric
0.1553868373906005,top_5,frank,4,metabric
0.144709931424233,top_10,frank,4,metabric
0.001,random_25,clayton,4,metabric
1.1429569644676263,original,clayton,4,gbsg
1.149186303987828,top_5,clayton,4,gbsg
1.1365335113331143,top_10,clayton,4,gbsg
1.2257475864592131,random_25,clayton,4,gbsg
0.2992252879352088,original,frank,4,nacd
0.3518240817277867,top_5,frank,4,nacd
0.3520322187973358,top_10,frank,4,nacd
0.4165226516393404,random_25,frank,4,nacd
0.2789540383232337,original,clayton,4,support
0.3047774023733459,top_5,clayton,4,support
0.2942872356090439,top_10,clayton,4,support
0.3858703195914534,random_25,clayton,4,support
0.001,original,frank,4,flchain
0.001,top_5,frank,4,flchain
0.001,top_10,frank,4,flchain
0.001,random_25,clayton,4,flchain
0.1161117921046585,original,frank,4,whas
0.0635349261165522,top_5,frank,4,whas
0.1088239696880085,top_10,frank,4,whas
0.001,random_25,clayton,4,whas
0.4192562455229042,original,clayton,4,employee
0.4271133281496229,top_5,clayton,4,employee
0.4284686067582038,top_10,clayton,4,employee
0.5138969045082519,random_25,clayton,4,employee
0.538305731345112,original,clayton,4,churn
0.4943927446271911,top_5,clayton,4,churn
0.5082571408680819,top_10,clayton,4,churn
0.5399309217793307,random_25,clayton,4,churn
0.5847416648425559,original,clayton,4,mimic_all
0.6123922029671832,top_5,clayton,4,mimic_all
0.5821016942090402,top_10,clayton,4,mimic_all
0.5612304695145731,random_25,clayton,4,mimic_all
0.4067424301813349,original,frank,4,seer_brain
0.6687612691537788,top_5,clayton,4,seer_brain
0.3850208634138722,top_10,frank,4,seer_brain
1.0525303401800965,random_25,clayton,4,seer_brain
0.5148466790276871,original,clayton,4,seer_liver
0.4030248652815139,top_5,clayton,4,seer_liver
0.5041753915650474,top_10,clayton,4,seer_liver
0.6636471106970245,random_25,clayton,4,seer_liver
0.7986430116593163,original,clayton,4,seer_stomach
0.7254737387941091,top_5,clayton,4,seer_stomach
0.8410174659679418,top_10,clayton,4,seer_stomach
0.9781818258145396,random_25,clayton,4,seer_stomach
0.001,original,clayton,5,metabric
0.0903823720504233,top_5,frank,5,metabric
0.0908245697487579,top_10,frank,5,metabric
0.2473661611418671,random_25,frank,5,metabric
0.4933332246369233,original,frank,5,gbsg
0.4923041508886804,top_5,frank,5,gbsg
0.4914482819318188,top_10,frank,5,gbsg
1.1637187093995005,random_25,clayton,5,gbsg
0.001,original,clayton,5,nacd
0.4004387198085943,top_5,frank,5,nacd
0.3693154411592896,top_10,frank,5,nacd
0.366783868437241,random_25,frank,5,nacd
0.2861981713506332,original,clayton,5,support
0.2958275545291975,top_5,clayton,5,support
0.283623128346508,top_10,clayton,5,support
0.3989498679953201,random_25,clayton,5,support
0.0696235061806348,original,clayton,5,flchain
0.001,top_5,frank,5,flchain
0.001,top_10,clayton,5,flchain
0.001,random_25,clayton,5,flchain
0.001,original,frank,5,whas
0.001,top_5,frank,5,whas
0.001,top_10,frank,5,whas
0.001,random_25,clayton,5,whas
0.4254924182157287,original,clayton,5,employee
0.4418067292128948,top_5,clayton,5,employee
0.4389639605280903,top_10,clayton,5,employee
0.5107002108944307,random_25,clayton,5,employee
0.1021406850618746,original,frank,5,churn
0.5984386197620705,top_5,clayton,5,churn
0.6129884817918324,top_10,clayton,5,churn
0.5593978260610747,random_25,clayton,5,churn
0.5714733394116001,original,clayton,5,mimic_all
0.6132001372658371,top_5,clayton,5,mimic_all
0.5571273712636577,top_10,clayton,5,mimic_all
0.5474949443371306,random_25,clayton,5,mimic_all
0.6781851665687287,original,clayton,5,seer_brain
0.6696629896650774,top_5,clayton,5,seer_brain
0.6772188610070017,top_10,clayton,5,seer_brain
0.8552916134295409,random_25,clayton,5,seer_brain
0.5060234163052311,original,clayton,5,seer_liver
0.411468742351213,top_5,clayton,5,seer_liver
0.47825872412538,top_10,clayton,5,seer_liver
0.7397811579149214,random_25,clayton,5,seer_liver
0.7983988233176414,original,clayton,5,seer_stomach
0.6983233776910278,top_5,clayton,5,seer_stomach
0.8241694169421865,top_10,clayton,5,seer_stomach
0.8774440660530285,random_25,clayton,5,seer_stomach
0.1459713679045563,original,frank,6,metabric
0.001,top_5,clayton,6,metabric
0.1564825003216148,top_10,frank,6,metabric
0.001,random_25,clayton,6,metabric
0.5461878829686798,original,frank,6,gbsg
0.521020356507762,top_5,frank,6,gbsg
0.5551576972537792,top_10,frank,6,gbsg
0.4648847647870853,random_25,frank,6,gbsg
0.3170184403843655,original,frank,6,nacd
0.4074948721478441,top_5,frank,6,nacd
0.3786414055619617,top_10,frank,6,nacd
0.4154315724945536,random_25,frank,6,nacd
0.0309160096411077,original,frank,6,support
0.3306268012939534,top_5,clayton,6,support
0.0080629907613769,top_10,frank,6,support
0.3868498237619402,random_25,clayton,6,support
0.0696235061806348,original,clayton,6,flchain
0.001,top_5,clayton,6,flchain
0.001,top_10,frank,6,flchain
0.1166284418369574,random_25,frank,6,flchain
0.2047186083902628,original,frank,6,whas
0.001,top_5,clayton,6,whas
0.001,top_10,clayton,6,whas
0.001,random_25,frank,6,whas
0.4229376351177457,original,clayton,6,employee
0.4332546482524355,top_5,clayton,6,employee
0.4328074963863842,top_10,clayton,6,employee
0.506578254931797,random_25,clayton,6,employee
0.5716348036275574,original,clayton,6,churn
0.5175715256475455,top_5,clayton,6,churn
0.1635902730006623,top_10,frank,6,churn
0.5996709938102285,random_25,clayton,6,churn
0.5681721794164433,original,clayton,6,mimic_all
0.6032874084483304,top_5,clayton,6,mimic_all
0.5725360397706639,top_10,clayton,6,mimic_all
0.5867056963688098,random_25,clayton,6,mimic_all
0.6290980269951608,original,clayton,6,seer_brain
0.5996203844972591,top_5,clayton,6,seer_brain
0.6287640512118278,top_10,clayton,6,seer_brain
0.8325957203249075,random_25,clayton,6,seer_brain
0.4542277466450749,original,clayton,6,seer_liver
0.3582472957639671,top_5,clayton,6,seer_liver
0.4109699644851855,top_10,clayton,6,seer_liver
0.6419511017152557,random_25,clayton,6,seer_liver
0.8215145215900728,original,clayton,6,seer_stomach
0.7325114995727691,top_5,clayton,6,seer_stomach
